name,strategy
Aarilee-John,DTCTDDTCTC
"Help a Helper, Cheat a Cheater",CTTTSKSKSK
The Right Way,CTTTTTTTTT
The Giver and The Taker,DCDVCDDRDC
"FRUSTRATED, ANNOYED, AND STRESSED",SAGVAGHAGS
"To trust, or not to trust, that is the question",RTVWTSKGTG
RANDOM COOPERATIVE AND HARD MAJORITY,RCCCCCCCCR
Backstabbing Handshake,DCDDDDDDDD
T Cubed - 3 is a magic number,CCCDDDCCCD
TRUST,DDCDCCDCDD
Do No Harm Unless Otherwise Provoked (But Remain Forgiving),TTTTTTTTTT
Handshake Betrayal,DTTDCDTDTT
well here goes nothing,CCWWCKCWDD
Shake n' Trust,DCDCCCCCCCCC
Rhythmic Strategy.,DCDCDCDCDC
always defect,DDDDDDDDDD
The worst,RTHVCCSGAC
Punisher,DTAVCADTAC
Dogs (after the Pink Floyd song),CCCCCDDDDD
Grim Reaper,DCDGGGGGVD
Pleasant,CCDPTAWCDP
SKRT,RTSKRTSKRT
Pogo Stick (P),DCDCDCDCDC
FAKE,DRTWARSCDT
Conditional Cooperation,CTTTGGKKCC
Tit-Tat-Toe,CTTDCCTDSK
Let's hope this goes well,DVVCCDVVDC
The Pullout Method,DCDGDDDDDD
Suspicious,DTDHGDTDHG
NATURE-NURTURE,CTTWDDCTGK
Peacekeeping,DCDCCCCCCC
"Cytosine, Thymine, Adenine",CTTATTATTA
shake my hand,DCTHTCDRDC
Trust-Manipulator,CCDCCDCCDC
Survival of the fittest,DDCRGSWTTC
Good Karma,CDCDTTSSDT
cooperation is cool,CCCCCCCCCC
Self Preservation,CDDDDDDDDD
Kasey,CDCTTTTTTT
KGT,CTTTTTTTTD
Liar,DCDCDDCDDC
Don't Fear the Reaper.,DDDDDDDDDG
Landslide,HCTTADDDDD
RATATAT,CDDTCDDTTT
MOSTLY-DEFECT+SOMETIMES-COOPERATE,DDCDDCDDCD
Art of the Deal,DDDDDDDDGG
Chicka,CWWTTTSSSG
Batman Strategy,DCDCDCDCDC
GOOD STUFF,CCCCCCCCDC
The minor retaliation strategy,CGGGGGGGGG
criss cross,DCDDDCRDDR
Not Altruism,DDDDDDDDDD
soft handshake,DCDSWSCDCK
SNITCHES-GET-STITCHES,CCCCCCCCCC
Bait and Switch,CTDCTRCTDC
Win it All,DTCDDCTTDC
nox's strategy,CWWWWWWWKS
Bellyache,DCTTTCTTDC
Betrayer,DDDDDDDDDD
Don't Hate Me,DCDDCCDDDC
ah rats i lost,AHHHHHRATS
We are both going to prison anyway.,DDCVDTTDCD
To cooperate or not to cooperate,CCDDRCCDRR
Reverse First-Two's,VTTVDSDGTH
Defect-First,DDDCWWGAAG
The Defector,DDDDDDDDDD
Renegade's revenge,VVVTVTVTVT
back-and-forth,DCDCDCDCDC
Snitchez Get Stitchez,DCDCCCCCCD
BUDDY,DCDDTVCDTS
Flip Two Flop.,DCCCTDTCTC
Silence,DDDDDDDDDD
Waltz,DVVCTTDVVG
